method,n,coverage_mean,coverage_se,nmse_mean,nmse_se,scaled_remainder_mean,scaled_remainder_se
ema_099,190021,0.54,0.023137708083419483,10.577200085370226,1.250351944607138,12.538772027711168,0.5943814508768462
ema_099,205312,0.551,0.021153360169595906,9.873046651071611,1.152238643385856,12.162044885542171,0.5780972852236418
ema_099,221834,0.556,0.022487707079579495,9.273819152843561,1.0313770458910676,11.915537562086183,0.5526042948058529
ema_099,239685,0.565,0.02194460426997162,8.650017822309815,0.9288445251770693,11.601727457333379,0.5166929313531302
ema_099,258973,0.57,0.01992409839791244,8.133988273695373,0.8474102270004137,11.35844120974034,0.48966414571327493
ema_099,279813,0.589,0.019740488055944024,7.602302840681559,0.7754451484246256,10.948788066104342,0.46604574007609534
ema_099,302330,0.604,0.020593222382153022,7.186120645867427,0.7262785260519669,10.690567295876924,0.4456728785586872
ema_099,326660,0.609,0.021324572064577847,6.8187887804079015,0.6816618165162305,10.493158184788564,0.4342255740624876
ema_099,352947,0.62,0.02155565968942878,6.4305545260574855,0.6340076849166184,10.208427462845654,0.41901569139250106
ema_099,381349,0.629,0.020806710261816786,6.184310287367051,0.5974420518330252,10.088582684708252,0.40563804323067404
ema_099,412037,0.638,0.021214631886049922,5.947431102053101,0.568019441357514,9.885558047166931,0.39611099448056075
ema_099,445194,0.647,0.020373036250412115,5.634975025952165,0.5320771916556419,9.534305108253793,0.3750789702693321
ema_099,481020,0.643,0.02011356645539412,5.3154998769254345,0.48832600460645237,9.360046522956237,0.3676428111953683
ema_099,519728,0.67,0.019306145983268456,5.006252620422583,0.43895974228579043,9.101682386473994,0.3520323197021805
ema_099,561552,0.6679999999999999,0.019533964205346484,4.737666677148225,0.39490232959507027,8.913398312388301,0.3409977722314518
ema_099,606741,0.6809999999999999,0.018185075465803537,4.4478158921861,0.365512626650892,8.76661504576221,0.33575722163309
ema_099,655566,0.688,0.01765436964824198,4.167699026943886,0.32823485252621765,8.466172048682022,0.32747092736500555
ema_099,708321,0.701,0.01760939831711774,4.052696179697159,0.31162888379301823,8.344939544170064,0.3184725312685545
ema_099,765321,0.701,0.01714436621544503,3.9453240439312687,0.2987004236384659,8.258071609523437,0.30767623238114344
ema_099,826908,0.7120000000000001,0.016713872542099134,3.8050592180113507,0.2726357294401457,8.20791698341996,0.2898414752486435
ema_099,893451,0.7090000000000001,0.017061682510848986,3.657888340439672,0.25025999907937935,8.143477877676728,0.2742098668606922
ema_099,965348,0.725,0.01760251359461156,3.444788500345553,0.23424181371352965,7.905186485934524,0.2617839286131042
ema_099,1043032,0.737,0.016736520280844255,3.352621022630811,0.2261645439180743,7.962604307386198,0.25573346553319454
ema_099,1126966,0.731,0.016799170253679833,3.2402909418779053,0.217062065719179,7.910314001244736,0.2509822790177886
ema_099,1217656,0.738,0.015359661191549506,3.1189495942341923,0.20781848680170492,7.813716677832562,0.23640674664114755
ema_099,1315643,0.748,0.015984841304034006,3.051249461725667,0.20177369074873847,7.661456309950723,0.24039238244052924
ema_099,1421515,0.7440000000000001,0.016472812005044413,3.0107539045426264,0.19234055166910863,7.634128044173495,0.24014879475278472
ema_099,1535907,0.747,0.01684480557167327,2.97112712992675,0.18210520413104617,7.614174388415726,0.24072150956354227
